Stage Name,Full Name,Date of Birth,Group,Country,Birthplace,Other Group,Gender
Kyuhwan,Lee Kyuhwan,9/18/94,SIGNAL,South Korea,,,M
Kyuhyuk,Shim Kyuhyuk,1/11/95,Hot Blood Youth,South Korea,,,M
Kyuhyun,Cho Kyuhyun,2/3/88,Super Junior,South Korea,Seoul,Super Junior-M,M
Kyulkyung,Zhou Jieqiong,12/16/98,Pristin,China,Taizhou,"I.O.I, Pristin V",F
Kyungho,Jang Kyungho,5/7/01,TOO,South Korea,,,M
Kyungil,Song Kyungil,11/28/87,HISTORY,South Korea,,,M
Kyungri,Park Kyungri,7/5/90,9Muses,South Korea,Busan,9MUSES A,F
Kyungyoon,Lee Kyungyoon,2/21/00,Dongkiz,South Korea,,,M
L,Kim Myungsoo,3/13/92,Infinite,South Korea,Seoul,Infinite F,M
L.Joe,Lee Byunghun,11/23/93,,South Korea,Gunsan,,M
Lai Kuanlin,Lai Kuanlin,9/23/01,Wanna One,Taiwan,New Taipei,,M
Laon,Shin Kyuhyun,12/19/95,ENOi,South Korea,,,M
Lara,Moon Shinae,8/9/00,Dreamnote,South Korea,,,F
Laun,Kim Minseok,8/12/99,,South Korea,Seongsan,,M
Lay,Zhang Yixing,10/7/91,EXO,China,Changsa,,M
Layeon,Lee Jimin,8/13/98,Purplebeck,South Korea,,,F
LE,Ahn Hyejin,12/10/91,EXID,South Korea,Cheonan,,F
Lea,Ogawa Mizuki,8/12/95,SECRET NUMBER,Japan,Tokyo,,F
Lee Haein,Lee Haein,7/4/92,I.B.I,South Korea,Changwon,,F
Lee Hoo,Moon Junyoung,2/9/89,ZE:A,South Korea,Seoul,,M
Lee Hyeop,Lee Hyeop,8/13/99,DRIPPIN,South Korea,,,M
Lee Joon,Lee Changseon,2/7/88,,South Korea,Seoul,,M
Lee Know,Lee Minho,10/25/98,Stray Kids,South Korea,Gimpo,,M
Lee Soo,Jin Isoo,6/27/01,PRECIOUS,South Korea,Incheon,,F
Lee Suhyun,Lee Suhyun,11/5/96,I.B.I,South Korea,Ansan,,F
Leedo,Kim Geonhak,7/26/97,Oneus,South Korea,,,M
Leeteuk,Park Jeongsu,7/1/83,Super Junior,South Korea,Seoul,,M
Lena,Kang Rena,4/17/02,GWSN,South Korea,,,F
Leo,Jung Taekwon,11/10/90,VIXX,South Korea,Seoul,VIXX LR,M
Lex,Jeon Hyungmin,1/12/93,Bigflo,South Korea,,,M
Lia,Choi Jisu,7/21/00,ITZY,South Korea,,,F
Lime,Kim Hyerim,1/19/93,Hello Venus,South Korea,,,F
Lin Lin,Huang Ziting,7/5/03,,Taiwan,,,F
Lina,Oh Sejin,7/27/97,ANS,South Korea,,,F
Lina,Oh Hyesoo,5/23/97,RedSquare,South Korea,,,F
Linzy,Im Minji,10/22/89,Fiestar,South Korea,Incheon,,F
Lisa,Pranpriya Manoban,3/27/97,BLACKPINK,Thailand,Bangkok,,F
Liyah,Moon Liya,5/11/00,MIXX,South Korea,,,F
Lizzy,Park Sooyoung,7/31/92,After School,South Korea,Busan,Orange Caramel,F
Loha,Kang Yejin,12/27/01,Nature,South Korea,,,F
Longguo,Jin Longguo,3/2/96,JBJ,China,Heilong,,M
Lou,Kim Hosung,12/21/96,VAV,South Korea,,,M
Loudi,Won Jihoon,4/13/96,14U,Indonesia,,,M
Love,Park Jisung,1/17/94,OnlyOneOf,South Korea,,,M
Lu,Im Hayoung,12/3/97,NATURE,South Korea,,,F
LuA,Jo Hankyeung,9/14/91,BADKIZ,South Korea,Busan,,F
Lua,Kim Sookyung,10/6/00,Weki Meki,South Korea,,,F
Lucas,Wong Junghei,1/25/99,NCT,Hong Kong,,SuperM,M
Lucy,Noh Hyojung,8/31/02,Weki Meki,South Korea,Goyang,,F
Lucy,Kim Daeun,4/9/04,woo!ah!,South Korea,,,F
Luda,Lee Luda,3/6/97,Cosmic Girls,South Korea,Seoul,"WJSN Chocome, WJMK",F
Luha,Lee Gyeonghun,2/15/93,14U,South Korea,,,M
Luhan,Lu Han,4/20/90,,China,Haidian,,M
Luna,Park Sunyoung,8/12/93,f(x),South Korea,Seoul,,F
Lune,Jung Sungmin,2/27/00,DKB,South Korea,,,M
Manny,Syo Dongchun,11/17/01,VARSITY,China,,,M
Marco,Lee Hyunggeun,5/11/94,Hot Blood Youth,South Korea,,,M
Marin,,3/17/01,Bling Bling,Japan,Osaka,,F
Mark,Mark Lee,8/2/99,NCT,Canada,Vancouver,"NCT U, NCT 127, NCT Dream, SuperM",M
Mark,Mark Yien Tuan,9/4/93,GOT7,USA,Los Angeles,,M
Mashiho,Takata Mashiho,3/25/01,Treasure,Japan,,,M
Max Changmin,Shin Changmin,2/18/88,TVXQ,South Korea,Seoul,,M
May,Jeong Chaeyoung,7/27/01,,South Korea,,,F
May,Hirokawa Mao,11/16/04,Cherry Bullet,Japan,,,F
Medic Jin,Bae Yujin,8/8/96,Girlkind,South Korea,,,F
Meiqi,Meng Meiqi,10/15/98,Cosmic Girls,China,Luoyang,,F
Mia,Son Hyunmi,12/31/97,MIXX,South Korea,,,F
Mia,Han Eunji,1/13/00,Everglow,South Korea,,,F
Mihee,Lee Mihee,8/24/00,BOTOPASS,South Korea,,,F
Mijoo,Lee Mijoo,9/23/94,Lovelyz,South Korea,Okcheon,,F
Miko,Matsuda Miko,10/28/95,Honey Popcorn,Japan,,,F
Mill,Lee Yongsoo,3/30/99,OnlyOneOf,South Korea,,,M
Milo,Kim Minhak,8/20/96,Romeo,South Korea,,,M
Mimi,Jung Mimi,1/1/93,Gugudan,South Korea,,,F
Mimi,Kim Mihyun,5/1/95,Oh My Girl,South Korea,Jeju,,F
Min,Lee Minyoung,6/21/91,miss A,South Korea,Seoul,,F
Min,Lee Mincheon,10/16/97,We In The Zone,South Korea,Seoul,,M
Mina,Kwon Mina,9/21/93,,South Korea,Busan,,F
Mina,Myoui Mina,3/24/97,Twice,Japan,San Antonio,,F
Mina,Kang Mina,12/4/99,Gugudan,South Korea,Icheon,Gugudan Oguogu,F
Minah,Bang Minah,5/13/93,Girl's Day,South Korea,Incheon,,F
Minchan,Hong Minchan,9/16/98,Verivery,South Korea,,,M
Mingi,Son Mingi,8/9/99,ATEEZ,South Korea,,,M
Mingyu,Kim Mingyu,4/6/97,Seventeen,South Korea,Anyang,,M
Minha,Park Minha,6/27/91,,South Korea,Seoul,,F
Minhee,Joo Minhee,1/3/93,Stellar,South Korea,Seoul,,F
Minhee,Kang Minhee,9/17/02,CRAVITY,South Korea,,,M
Minho,Choi Minho,12/9/91,SHINee,South Korea,Incheon,,M
Minho,Lee Minho,9/4/95,MY.st,South Korea,,,M
Minhwan,Choi Minhwan,9/11/92,FTISLAND,South Korea,Seoul,,M
Minhyuk,Lee Minhyuk,11/29/90,BtoB,South Korea,Seoul,,M
Minhyuk,Lee Minhyuk,11/3/93,MONSTA X,South Korea,,,M
Minhyuk,Kang Minhyuk,6/28/91,CNBLUE,South Korea,Ilsan,,M
Minhyuk,Kim Minhyuk,11/6/99,D-CRUNCH,South Korea,,,M
Minhyun,Hwang Minhyun,8/9/95,NU'EST,South Korea,Busan,NU'EST,M
Mini,,6/12/00,Purplebeck,South Korea,,,F
Minjae,Seong Minjae,12/18/94,Sonamoo,South Korea,Busan,,F
Minjae,Shin Minjae,8/13/91,Tahiti,South Korea,Busan,,F
Minjae,Jo Minjae,8/8/94,Spectrum,South Korea,,,M
Minjae,Song Minjae,8/23/03,MCND,South Korea,,,M
Minji,Kim Minji,1/16/01,Busters,South Korea,,,F
Minjoo,Kim Minjoo,2/5/01,IZ*ONE,South Korea,Seoul,,F
Minju,Kang Minjoo,3/11/01,GWSN,South Korea,,,F
Minjung,Cha Minjung,7/15/04,,South Korea,,,F
Minkyung,Kang Minkyung,8/3/90,Davichi,South Korea,Goyang,,F
Minnie,Nicha Yontararak,10/23/97,(G)I-DLE,Thailand,,,F
Mino,Song Minho,3/30/93,WINNER,South Korea,Yongin,,M
Minpyo,Gook Minpyo,11/15/94,B.I.G,South Korea,Gwangju,,M
Minseo,Kim Minseo,8/12/04,woo!ah!,South Korea,,,F
Minseo,Park Minseo,3/21/03,Saturday,South Korea,,,F
Minseo,Kim Minseo,5/13/02,DRIPPIN,South Korea,,,M
Minsu,Park Minsu,4/15/93,Boys Republic,South Korea,Gwangju,,M
Minsu,Kim Minsu,3/20/00,TOO,South Korea,,,M
Minsung,Kim Minhwi,12/24/96,Romeo,South Korea,,,M
Minwoo,No Minwoo,7/31/95,Boyfriend,South Korea,Anyang,,M
Minwoo,Ha Minwoo,9/6/90,ZE:A,South Korea,Yangsan,,M
Minwoo,Seo Minwoo,2/8/85,100%,South Korea,Daegu,,M
Minyoung,Kim Minyeong,9/12/90,Brave Girls,South Korea,Seongnam,,F
Minzy,Kong Minji,1/18/94,2NE1,South Korea,,,F
Mir,Bang Cheolyong,3/10/91,MBLAQ,South Korea,Bukhamyeon,,M
Mir,Lee Yoonsang,3/6/00,Astin,South Korea,,,M
Mirae,Kim Kyungjoo,3/26/98,,South Korea,,,F
Mire,Su Mire,3/26/06,TRI.BE,Japan,,,F
Miryo,Jo Mihye,11/2/81,Brown Eyed Girls,South Korea,,,F
Miso,Park Miso,4/4/91,Tahiti,South Korea,Gwangju,,F
Miso,Park Jihyun,9/16/96,P.O.P,South Korea,Busan,,F
Miso,Jeon Jimin,10/25/00,Dreamnote,South Korea,,,F
Miya,Miyauchi Haruka,5/26/93,GWSN,Japan,,,F
Miyeon,Jo Miyeon,1/31/97,(G)I-DLE,South Korea,,,F
MJ,Kim Myungjun,3/5/94,ASTRO,South Korea,Nowon,,M
MK,Park Minkyun,11/16/95,ONF,South Korea,Ilsan,,M
Moko,Sakura Moko,3/19/91,Honey Popcorn,Japan,,,F
Momo,Hirai Momo,11/9/96,Twice,Japan,Kyoto,,F
Monday,Kim Jimin,5/10/02,Weeekly,South Korea,,,F
Monika,Kang Yeh,5/21/91,BADKIZ,South Korea,Seoul,,F
Moon Bin,Moon Bin,1/26/98,ASTRO,South Korea,Cheongju,,M
Moonbyul,Moon Byulyi,12/22/92,Mamamoo,South Korea,Bucheon,,F
Moonhee,Choi Moonhee,4/15/97,Bonus Baby,South Korea,,,F
Moonvok,Jang Moonvok,4/11/95,Limitless,South Korea,,,M
Munik,Jang Moonik,3/20/01,Dongkiz,South Korea,,,M
Muzin,Kim Hyunwoo,3/29/01,BAE173,South Korea,,,M
N,Cha Hakyeon,6/30/90,VIXX,South Korea,Changwon,Big Byung,M
Nada,Yoon Yejin,5/24/91,,South Korea,,,F
Naeun,Son Naeun,2/10/94,Apink,South Korea,Seoul,,F
Naeun,Lee Naeun,5/5/99,APRIL,South Korea,Daejeon,,F
Nahyun,Kim Nahyun,12/9/95,Sonamoo,South Korea,Seoul,,F
Nako,Yabuki Nako,6/18/01,IZ*ONE,Japan,Tokyo,,F
Nakta,Shin Yooncheol,4/24/93,,South Korea,Daegu,,M
Nakyung,Lee Nakyung,6/1/00,fromis_9,South Korea,Mungyeong,,F
Namjoo,Kim Namjoo,4/15/95,Apink,South Korea,Seoul,,F
Nana,Im Jinah,9/14/91,After School,South Korea,Cheongju,Orange Caramel,F
Nana,Kwon Nayeon,3/9/01,woo!ah!,South Korea,,,F
Nancy,Nancy Mcdonie,4/13/00,MOMOLAND,South Korea,Daegu,,F
Nara,Kwon Nara,3/13/91,Hello Venus,South Korea,Seongnam,,F
Narachan,Jung Hyunwoo,9/23/96,MONT,South Korea,,,M
Narae,Park Narae,2/23/88,SPICA,South Korea,Incheon,SPICA-S,F
Nari,Kim Nari,10/5/92,Wassup,South Korea,,,F
Narin,Lee Narin,10/29/01,Bling Bling,South Korea,,,F
Narsha,Park Hyojin,12/28/81,Brown Eyed Girls,South Korea,,,F
Nason,Kim Duyeop,6/12/95,CHECKMATE,South Korea,,,M
Nayeon,Im Nayeon,9/22/95,Twice,South Korea,Seoul,,F
Nayoung,Kim Nayoung,11/23/95,Gugudan,South Korea,,,F
Nayoung,Im Nayoung,12/18/95,Pristin,South Korea,Chungcheongham,"I.O.I, Pristin V",F
Nayun,Kim Nayun,7/31/98,MOMOLAND,South Korea,Seoul,,F
NC.A,Im Soeun,10/7/96,UNI.T,South Korea,Osan,,F
New,Choi Chanhee,4/26/98,The Boyz,South Korea,Jeonju,,M
New Sun,Choi Yoonsun,6/19/97,Sonamoo,South Korea,,,F
Ni-Ki,Nishimura Riki,12/9/05,ENHYPEN,Japan,,,M
Nichkhun,Nichkhun Horvejkul,6/24/88,2PM,Thailand,California,,M
Nicole,Nicole Jung,10/7/91,,South Korea,Los Angeles,,F
Niel,Ahn Daniel,8/16/94,Teen Top,South Korea,Anyang,,M
Nine,Jung Wookjin,12/13/99,OnlyOneOf,South Korea,,,M
Ningning,Ning Yizhuo,10/23/02,aespa,China,Harbin,,F
Noah,Hwang Seundae,3/18/98,CHECKMATE,South Korea,,,M
Noeul,No Eul,5/10/89,Rainbow,South Korea,Jeonju,,F
O.V,Kim Sanchan,1/3/99,D-CRUNCH,South Korea,,,M
Olivia Hye,Son Hyeju,11/13/01,LOONA,South Korea,,Loona yyxy,F
Onda,Jo Selim,5/18/00,Everglow,South Korea,,,F
Onejunn,Jo Wonjun,11/22/88,Boys Republic,South Korea,Changwon,,M
Onew,Lee Jinki,12/14/89,SHINee,South Korea,Gwangmyeong,,M
P-Goon,Park Sehyuk,10/18/91,,South Korea,Seoul,,M
P.O,Pyo Jihoon,2/2/93,Block B,South Korea,Seoul,Bastarz,M
Park Kyung,Park Kyung,7/8/92,Block B,South Korea,Seoul,,M
Peniel,Shin Donggeun,3/10/93,BtoB,South Korea,Chicago,,M
Prince,Pasidh Vataniyapromote,1/10/03,Ghost9,Thailand,,,M
PSY,Park Jaesang,12/31/77,,South Korea,Seoul,,M
Q,Ji Changmin,11/5/98,The Boyz,South Korea,,,M
Qri,Lee Jihyun,12/12/86,T-ara,South Korea,Goyang,,F
Rachel,Sung Nayeon,8/28/00,APRIL,South Korea,,,F
Rain,Jung Jihoon,6/25/82,,South Korea,Seosan,,M
Raina,Oh Hyerin,5/7/89,After School,South Korea,Ulsan,Orange Caramel,F
Rano,Byun Yongseop,12/10/98,E'LAST,South Korea,,,M
Raon,Lee Seoyoung,1/21/00,ANS,South Korea,,,F
Ravi,Kim Wonsik,2/15/93,VIXX,South Korea,Seoul,VIXX LR,M
Ravn,Kim Yoongjo,9/2/95,Oneus,South Korea,,,M
Raychan,Lee Heechan,4/18/96,Limitless,South Korea,,,M
Red,Lee Heejin,7/10/91,Pungdeng-E,South Korea,Daegu,,F
Remi,Katsuno Rise,4/26/01,Cherry Bullet,Japan,,,F
Ren,Choi Minki,11/3/95,NU'EST,South Korea,Busan,NU'EST W,M
Rena,Kang Yebin,10/19/98,Hinapia,South Korea,,Pristin V,F
Renjun,Hwang Renjun,3/23/00,NCT,China,Jilin,NCT Dream,M
Ria,Kuwayama Ria,2/3/98,BOTOPASS,Japan,,,F
Ricky,Yoo Changhyun,2/27/95,Teen Top,South Korea,Seoul,,M
Rie,Lee Seungho,11/6/96,OnlyOneOf,South Korea,,,M
Riho,Jin Seungwook,3/1/98,VARSITY,South Korea,Incheon,,M
Rina,Kang Soeun,9/27/01,Weki Meki,South Korea,,,F
Rio,Son Gwanghyuk,7/16/99,14U,South Korea,,,M
RM,Kim Namjoon,9/12/94,BTS,South Korea,Ilsan,,M
Roa,Kim Minkyung,7/29/97,Hinapia,South Korea,,Pristin V,F
Rocky,Park Minhyuk,2/25/99,ASTRO,South Korea,Jinju,,M
Roda,Shin Joongmin,9/19/98,MONT,South Korea,,,M
Roel,Kim Sunho,2/13/97,ARGON,South Korea,,,M
Rokhyun,Kim Rokhyun,2/10/91,100%,South Korea,Suncheon,,M
Romin,Choi Youngmin,4/24/01,E'LAST,South Korea,,,M
Ron,Cheon Byeonghwa,1/22/91,Bigflo,South Korea,,,M
Rosé,Roseanne Park,2/11/97,BLACKPINK,South Korea,Auckland,,F
Rowoon,Kim Seokwoo,8/7/96,SF9,South Korea,,,M
Royeon,Jeon Hyunjoo,2/20/98,ANS,South Korea,,,F
Rubin,Lee Haejoon,8/16/95,1TEAM,South Korea,,,M
Rui,Watanabe Rui,10/8/94,H.U.B,Japan,,,F
Ryeowook,Kim Ryeowook,6/21/87,Super Junior,South Korea,Incheon,Super Junior-M,M
Ryujin,Shin Ryujin,4/17/01,ITZY,South Korea,,,F
S.Coups,Choi Seungcheol,8/8/95,Seventeen,South Korea,Daegu,,M
Saebom,Kim Saerok,1/30/97,NATURE,South Korea,,,F
Saebom,Kim Seyoung,1/13/95,Favorite,South Korea,Gwacheon,,F
Saebyeok,Shim Jaeyoung,11/9/96,Ho1iday,South Korea,,,F
Saebyeol,Han Saebyeol,5/23/96,Matilda,South Korea,,,F
Saerom,Lee Saerom,1/7/97,fromis_9,South Korea,Gangwon,,F
Sakang,Jeon Sakang,10/26/02,TheEastLight,South Korea,,,M
Sakura,Miyawaki Sakura,3/19/98,IZ*ONE,Japan,Kagoshima,,F
Sally,Liu Xiening,10/23/96,Gugudan,China,Guangdong,,F
Samuel,Kim Samuel,1/17/02,,South Korea,Los Angeles,,M
San,Choi San,7/10/99,ATEEZ,South Korea,,,M
Sana,Minatozaki Sana,12/29/96,Twice,Japan,Osaka,,F
Sandeul,Lee Junghwan,3/20/92,B1A4,South Korea,Busan,,M
Sanga,Lee Sanga,8/5/99,Pink Fantasy,South Korea,,,F
Sangdo,Yoo Sangdo,3/2/93,Topp Dogg,South Korea,Incheon,,M
Sangho,Jo Sangho,2/10/95,SNUPER,South Korea,Changwon,,M
Sanghoon,Lee Sanghoon,12/23/93,,South Korea,Cheongju,,M
Sangil,Shim Sangil,5/1/93,SNUPER,South Korea,Seoul,,M
Sangmin,Kim Sangmin,7/7/92,CROSS GENE,South Korea,Jinju,,M
Sangyeon,Lee Sangyeon,11/4/96,The Boyz,South Korea,,,M
Sanha,Yoon Sanha,3/21/00,ASTRO,South Korea,Seoul,,M
Sea,Kim Sujeong,12/5/99,Highteen,South Korea,,,F
Sebin,Jang Sebin,4/24/96,SNUPER,South Korea,Pocheon,,M
Seea,Kang Eunyoung,8/21/94,Pink Fantasy,South Korea,,,F
Seeun,Yoon Seeun,6/14/03,STAYC,South Korea,,,F
Segye,Shin Segye,8/19/98,AREAL,South Korea,,,F
Sehun,Oh Sehun,4/12/94,EXO,South Korea,Seoul,,M
Sehyung,Kang Sehyung,12/13/98,Berry Good,South Korea,,,F
Sei,Lee Seojung,1/7/00,Weki Meki,South Korea,,,F
Sejeong,Kim Sejeong,8/28/96,Gugudan,South Korea,,,F
Sejin,Lee Sejin,7/22/99,14U,South Korea,,,M
Sejun,Lim Sejun,5/4/96,VICTON,South Korea,,,M
Seline,Jung Yeonjeong,7/20/00,Cignature,South Korea,,,F
Semi,Gu Semi,4/10/02,Cignature,South Korea,,,F
Semmi,Oh Heesun,10/22/95,Matilda,South Korea,,,F
Seogoong,Park Hyunho,5/1/92,,South Korea,Seongnam,,M
Seoham,Park Seoham,10/28/93,KNK,South Korea,,,M
Seoho,Lee Seoho,6/7/96,Oneus,South Korea,,,M
Seohyun,Seo Joohyun,6/28/91,SNSD,South Korea,Seoul,TTS,F
Seokcheol,Lee Seokchul,1/11/00,TheEastLight,South Korea,,,M
Seokhwa,Kang Seokhwa,12/1/00,WEi,South Korea,,,M
Seokyoung,Kim Seokyung,4/16/99,GWSN,South Korea,,,F
Seol,Min Jihye,1/1/97,P.O.P,South Korea,Gunsan,,F
Seola,Kim Hyunjung,12/24/94,Cosmic Girls,South Korea,Seoul,WJMK,F
Seolhyun,Kim Seolhyun,1/3/95,AoA,South Korea,Bucheon,,F
Seonghwa,Park Seonghwa,4/3/98,ATEEZ,South Korea,Jinju,,M
Seonglee,Kim Seonglee,4/6/94,,South Korea,,,M
Seongmin,Ahn Seongmin,8/1/03,CRAVITY,South Korea,,,M
Seongwu,Ong Seunwu,8/25/95,Wanna One,South Korea,Incheon,,M
Seoryoung,Lee Seoryung,1/26/00,GWSN,South Korea,,,F
Seoyeon,Lee Seoyeon,1/22/00,fromis_9,South Korea,Seoul,,F
Seoyeon,Kim Minju,11/26/95,Favorite,South Korea,Gwacheon,,F
Seoyoon,Kim Suyoung,1/26/95,BOTOPASS,South Korea,,,F
Seoyoung,Lee Seoyoung,6/27/94,Hello Venus,South Korea,,,F
Seoyul,Seo Yuri,11/26/97,Berry Good,South Korea,,,F
Serim,Park Serim,3/3/99,CRAVITY,South Korea,,,M
Serri,Park Miyeon,9/16/90,Dal Shabet,South Korea,Seoul,,F
Seulgi,Kang Seulgi,2/10/94,Red Velvet,South Korea,Seoul,Red Velvet - IRENE SEULGI,F
Seulgi,Jeong Seulgi,5/12/90,S#aFLA,South Korea,,,F
Seungah,Oh Seungah,9/13/88,Rainbow,South Korea,Seoul,"Rainbow Blaxx, Rainbow Pixie",F
Seungbo,Jung Seungbo,11/1/97,VARSITY,South Korea,Ilsan,,M
Seungchan,Kang Seungchan,1/1/03,Newkidd,South Korea,,,M
Seungeun,Shim Seungeun,12/27/00,BVNDIT,South Korea,,,F
Seunghan,Lee Seunghan,2/22/96,DUSTIN,South Korea,,,M
Seunghee,Oh Seunghee,10/10/95,CLC,South Korea,Gwangju,,F
Seunghee,Hyun Seunghee,1/25/96,Oh My Girl,South Korea,Chuncheon,,F
Seungho,Yang Seungho,10/16/87,MBLAQ,South Korea,Seoul,,M
Seunghun,Kim Seunghun,2/26/99,CIX,South Korea,,,M
Seunghwan,Lee Seunghwan,12/10/94,Romeo,South Korea,,,M
Seunghwan,Lee Seunghwan,5/20/00,1the9,South Korea,,,M
Seunghyub,Lee Seunghyub,10/31/92,N.Flying,South Korea,Daegu,,M
Seunghyun,Song Seungyun,8/21/92,FTISLAND,South Korea,Seoul,,M
Seunghyun,Lee Seunghyun,12/31/01,TheEastLight,South Korea,,,M
Seungjun,Ji Seungjun,9/15/98,Astin,South Korea,,,M
Seungkwan,Boo Seungkwan,1/16/98,Seventeen,South Korea,Jeju,,M
Seungmin,Bae Seungmin,10/13/98,Golden Child,South Korea,,,M
Seungmin,Kim Seungmin,9/22/00,Stray Kids,South Korea,Seoul,,M
Seungmin,Lee Seungmin,2/3/96,Hashtag,South Korea,,,F
Seungri,Lee Seunghyun,12/12/90,BIGBANG,South Korea,Gwangju,,M
Seungsik,Kang Seungsik,4/16/95,VICTON,South Korea,,,M
Seungwoo,Han Seungwoo,12/24/94,VICTON,South Korea,,,M
Seungyeon,Jang Seunyeon,11/6/96,CLC,South Korea,Seongnam,,F
Seungyeon,Han Seungyeon,7/24/88,KARA,South Korea,Seoul,,F
Seungyeop,Choi Seungyeop,5/8/97,E'LAST,South Korea,,,M
Seungyoon,Cho Seungyoon,8/5/96,UNIQ,South Korea,,,M
Seyeon,Park Seyeon,5/6/01,Purplebeck,South Korea,,,F
Seyong,Kim Seyong,11/20/91,MYNAME,South Korea,Busan,,M
Seyoung,Lee Seyoung,2/8/90,CROSS GENE,South Korea,Busan,,M
Shiho,Kwon Subin,8/22/01,BOTOPASS,South Korea,,,F
Shihyun,Kim Shihyun,5/6/98,We In The Zone,South Korea,Changwon,,M
Shin,Shin Wonho,10/23/91,CROSS GENE,South Korea,Seoul,,M
Shin,Kim Suhyun,3/18/00,Ghost9,South Korea,,,M
Shindong,Shin Donghee,9/28/85,Super Junior,South Korea,Mungyeong,,M
Shinwon,Go Shinwon,12/11/95,PENTAGON,South Korea,,,M
Shinyoung,Park Shinyoung,3/19/00,G-reyish,South Korea,,,F
Shotaro,Osaki Shotaro,11/25/00,NCT,Japan,,NCT U,M
Shownu,Son Hyunwoo,6/18/92,MONSTA X,South Korea,,,M
Shuhua,Yeh Shuhua,1/6/00,(G)I-DLE,Taiwan,,,F
Sieun,Lee Sieun,9/19/93,CHECKMATE,South Korea,,,F
Sieun,Park Sieun,8/1/01,STAYC,South Korea,,,F
Sihyeon,Kim Sihyeon,8/5/99,Everglow,South Korea,,,F
Sihyeon,Kang Sihyeon,7/15/98,ARIAZ,South Korea,,,F
Sihyoung,Kim Sihyoung,5/15/92,HISTORY,South Korea,Busan,,M
Sihyun,Park Sihyun,11/29/86,SPICA,South Korea,,SPICA-S,F
Sika,Ren Shika,8/22/95,FANATICS,China,,,F
Simyeong,Lee Simyeong,5/27/99,BVNDIT,South Korea,,,F
SinB,Hwang Eunbi,6/3/98,Gfriend,South Korea,Cheongju,,F
Siu,Hwang Inseok,5/19/95,DUSTIN,South Korea,,,M
Siwan,Yim Siwan,12/1/88,ZE:A,South Korea,Busan,,M
Siwon,Choi Siwon,4/7/86,Super Junior,South Korea,Seoul,Super Junior-M,M
Siwoo,Yoo Siwoo,5/11/01,TRCNG,South Korea,,,M
Siyeon,Lee Siyeon,10/1/95,Dreamcatcher,South Korea,Daegu,,F
Soeun,Park Soeun,10/26/02,Weeekly,South Korea,,,F
Soeun,Bang Soeun,12/10/05,TRI.BE,South Korea,,,F
Sohee,Kim Sohee,1/20/95,Nature,South Korea,Busan,C.I.V.A,F
Sohee,Kim Sohee,12/31/99,ELRIS,South Korea,,,F
Sohee,Kim Sohee,8/14/03,Rocket Punch,South Korea,,,F
Sohye,Kim Sohye,7/19/99,,South Korea,Seoul,,F
Sohyun,Kwon Sohyun,8/30/94,4minute,South Korea,Seoul,,F
Sojin,Park Sojin,5/21/86,Girl's Day,South Korea,Daegu,,F
Sojin,Jo Sojin,10/11/91,9Muses,South Korea,Gwangju,9MUSES A,F
Sojin,Hong Sojin,9/24/99,Hashtag,South Korea,,,F
Sojung,Lee Sojung,9/3/93,Ladies' Code,South Korea,Wonju,,F
Solar,Kim Yongsun,2/21/91,Mamamoo,South Korea,Seoul,,F
Solbin,Ahn Solbin,8/19/97,LABOUM,South Korea,Ojeonggu,,F
Solji,Heo Solji,1/10/89,EXID,South Korea,Seongnam,,F
Somi,Jeon Somi,3/9/01,,South Korea,Ontario,,F
Somin,Jang Somin,11/10/93,BADKIZ,South Korea,Gwangmyeon,,F
Somin,Jeon Somin,8/22/96,KARD,South Korea,Seoul,,F
Somyi,Ahn Somyi,1/26/00,DIA,South Korea,Changwon,L.U.B,F
Song,Song Yunhyeong,2/8/95,iKON,South Korea,,,M
Songhee,Yoon Songhee,11/8/98,BVNDIT,South Korea,,,F
SongSun,Kim Songsun,3/22/97,TRI.BE,South Korea,,,F
Songyee,Park Songyee,9/25/04,woo!ah!,South Korea,,,F
Soobin,Park Soobin,9/14/96,Cosmic Girls,South Korea,Seoul,WJSN Chocome,F
Soobin,Choi Soobin,12/5/00,TXT,South Korea,,,M
Soodam,Lee Soodam,11/9/99,SECRET NUMBER,South Korea,,,F
Soohyun,Shin Soohyun,3/11/89,U-KISS,South Korea,Pocheon,,M
Soojin,Seo Soojin,3/9/98,(G)I-DLE,South Korea,,,F
Soojin,Lee Soojin,12/12/01,Weeekly,South Korea,,,F
Sooyoung,Choi Sooyoung,2/10/90,SNSD,South Korea,Gwangju,,F
Sora,Sakata Sora,8/30/03,woo!ah!,Japan,,,F
Sorn,Chonnasorn Sajakul,11/18/96,CLC,Thailand,Bangkok,,F
Soso,Wang Chingyi,3/14/01,GWSN,Taiwan,,,F
Soul,Haku Shota,2/1/05,P1Harmony,Japan,,,M
Sowon,Kim Sojung,12/7/95,Gfriend,South Korea,Seoul,,F
Soyee,Jang Sojin,11/21/96,Gugudan,South Korea,,,F
Soyeon,Jung Soyeon,5/4/94,LABOUM,South Korea,Gwangju,,F
Soyeon,Park Soyeon,10/5/87,T-ara,South Korea,Andong,,F
Soyeon,Jeon Soyeon,8/26/98,(G)I-DLE,South Korea,,,F
Soyou,Kang Jihyun,2/12/92,SISTAR,South Korea,,,F
Soyoung,Yoo Soyoung,3/29/96,,South Korea,Seoul,,F
